Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
WBF86T,486900,483906,-0.6,-3080,2024,69660,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Plus Bright | Drag | Läder
PKN34R,559500,555928,-0.6,557,2025,20480,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition |Drag |360° |Läder |Elstol |Panorama
LZU74P,469500,465688,-0.8,12944,2023,123160,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Dark | Parkeringskamera 360 | Dragkrok | Aktiv Luftfjädrin
WPH407,359900,356885,-0.8,-10619,2018,121620,235.0,D5,Diesel,AWD,D5 AWD R-Design UB 19'
FZS56S,559500,554793,-0.8,-747,2025,21570,349.0,T6,Plugin Hybrid,AWD,T6 Plus Bright Edition
JBF85E,649000,643197,-0.9,-8519,2025,20550,455.0,T8,Plugin Hybrid,AWD,T8 Ultra Dark - FULLUTRUSTAD!
BJA12K,349900,346569,-1.0,8721,2023,177490,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
AJZ62T,389800,385861,-1.0,-11108,2022,123430,341.0,T6,Plugin Hybrid,AWD,Recharge T6 Inscription Runningboards HUD Massage 360 Drag
TDR66U,344500,340814,-1.1,-2454,2022,168510,252.0,T6,Plugin Hybrid,AWD,Recharge T6 II Inscr Expression
GSW01N,569900,563661,-1.1,-713,2025,12940,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Edition
PLU848,249500,246739,-1.1,3570,2017,119520,190.0,D4,Diesel,AWD,D4 AWD Classic Summum
MFK85N,529500,523555,-1.1,-5137,2024,32680,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition, Dragkrok Halvautomatisk, Parkeringskamera Ba"
JGP15K,529500,523431,-1.2,-5276,2024,32800,349.0,T6,Plugin Hybrid,AWD,"Recharge T6 II Plus Bright Edition. Dragkrok, Panormaglastak,Parkeringkamera bak"
ZLK02S,344900,340800,-1.2,-7009,2021,90800,250.0,B5,Mild Hybrid,FWD,B5 Bensin Momentum Advanced SE HÖGSPEC
